Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-01-01 03:00,11,0.58,31,40
2023-01-01 03:00,19,0.54,33,39
2023-01-01 02:55,7,0.56,32,39
2023-01-01 02:55,14,0.55,33,40
2023-01-01 02:50,15,0.60,30,35
2023-01-01 02:50,19,0.51,36,41
2023-01-01 02:45,12,0.53,34,45
2023-01-01 02:45,16,0.54,33,40
2023-01-01 02:40,14,0.62,29,36
2023-01-01 02:40,20,0.53,34,41
2023-01-01 02:35,16,0.55,33,43
2023-01-01 02:35,20,0.54,33,40
2023-01-01 02:30,14,0.60,30,40
2023-01-01 02:30,21,0.56,32,40
2023-01-01 02:25,15,0.72,25,33
2023-01-01 02:25,36,0.55,32,40
2023-01-01 02:20,13,0.53,34,40
2023-01-01 02:20,18,0.53,34,44
2023-01-01 02:15,13,0.47,38,58
2023-01-01 02:15,17,0.51,35,40
2023-01-01 02:10,11,0.67,27,27
2023-01-01 02:10,26,0.67,27,35
2023-01-01 02:05,13,0.73,25,25
2023-01-01 02:05,21,0.56,32,35
2023-01-01 02:00,15,0.00,0,0
2023-01-01 02:00,31,0.58,31,31
2023-01-01 01:55,20,0.00,0,0
2023-01-01 01:55,37,0.55,33,41
2023-01-01 01:50,14,0.00,0,0
2023-01-01 01:50,42,0.53,34,34
2023-01-01 01:45,18,0.77,23,23
2023-01-01 01:45,27,0.61,29,32
2023-01-01 01:40,13,0.00,0,0
2023-01-01 01:40,20,0.59,30,35
2023-01-01 01:35,15,0.00,0,0
2023-01-01 01:35,20,0.00,0,0
2023-01-01 01:30,10,0.60,30,30
2023-01-01 01:30,19,0.50,36,36
2023-01-01 01:25,13,0.00,0,0
2023-01-01 01:25,23,0.54,33,33
2023-01-01 01:20,13,0.00,0,0
2023-01-01 01:20,20,0.48,37,48
2023-01-01 01:15,15,0.00,0,0
2023-01-01 01:15,20,0.57,31,33
2023-01-01 01:10,11,0.70,26,31
2023-01-01 01:10,16,0.54,33,38
2023-01-01 01:05,11,0.51,35,43
2023-01-01 01:05,19,0.49,36,44
2023-01-01 01:00,14,0.55,33,44
2023-01-01 01:00,19,0.69,26,40
2023-01-01 00:55,12,0.52,35,36
2023-01-01 00:55,18,0.51,35,42
2023-01-01 00:50,9,0.49,37,37
2023-01-01 00:50,17,0.53,34,44
2023-01-01 00:45,10,0.50,36,41
2023-01-01 00:45,16,0.51,35,41
2023-01-01 00:40,12,0.49,37,48
2023-01-01 00:40,15,0.45,40,53
2023-01-01 00:35,8,0.58,31,35
2023-01-01 00:35,10,0.43,42,47
2023-01-01 00:30,14,0.55,33,41
2023-01-01 00:30,12,0.45,40,50
2023-01-01 00:25,8,0.48,37,42
2023-01-01 00:25,5,0.47,38,38
2023-01-01 00:20,4,0.51,35,38
2023-01-01 00:20,5,0.45,40,45
2023-01-01 00:15,6,0.58,31,44
2023-01-01 00:15,6,0.43,42,52
2023-01-01 00:10,6,0.49,37,41
2023-01-01 00:10,6,0.46,39,50
2023-01-01 00:05,1,1.10,16,16
2023-01-01 00:05,5,0.63,28,31
2023-01-01 00:00,3,0.49,37,37
2023-01-01 00:00,8,0.44,41,48
2022-12-31 23:55,3,0.62,29,45
2022-12-31 23:55,7,0.45,40,58
2022-12-31 23:50,5,0.50,36,36
2022-12-31 23:50,8,0.49,37,46
2022-12-31 23:45,11,0.62,29,38
2022-12-31 23:45,12,0.53,34,43
2022-12-31 23:40,10,0.64,28,44
2022-12-31 23:40,12,0.52,35,47
2022-12-31 23:35,11,0.61,29,41
2022-12-31 23:35,23,0.58,31,41
2022-12-31 23:30,11,0.65,28,33
2022-12-31 23:30,17,0.46,39,45
2022-12-31 23:25,11,0.58,31,40
2022-12-31 23:25,19,0.54,33,39
2022-12-31 23:20,12,0.64,28,36
2022-12-31 23:20,12,0.48,38,45
2022-12-31 23:15,13,0.57,32,41
2022-12-31 23:15,12,0.48,38,48
2022-12-31 23:10,15,0.65,28,36
2022-12-31 23:10,20,0.53,34,40
2022-12-31 23:05,16,0.51,35,42
2022-12-31 23:05,21,0.53,34,42
2022-12-31 23:00,18,0.61,30,37
2022-12-31 23:00,25,0.52,35,41
2022-12-31 22:55,14,0.60,30,35
2022-12-31 22:55,17,0.58,31,36
2022-12-31 22:50,13,0.51,35,43
2022-12-31 22:50,16,0.51,35,37
