Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 10:00,47,33.67,43,57
2023-03-20 10:00,43,37.43,55,63
2023-03-20 09:55,56,23.27,45,56
2023-03-20 09:55,69,25.82,50,60
2023-03-20 09:50,67,29.78,41,52
2023-03-20 09:50,52,64.10,51,60
2023-03-20 09:45,85,33.31,42,52
2023-03-20 09:45,70,64.08,54,66
2023-03-20 09:40,53,50.66,34,46
2023-03-20 09:40,123,61.30,41,56
2023-03-20 09:35,55,16.16,45,54
2023-03-20 09:35,72,31.91,55,63
2023-03-20 09:30,55,33.61,44,57
2023-03-20 09:30,61,32.97,50,60
2023-03-20 09:25,46,11.49,50,59
2023-03-20 09:25,66,22.70,52,59
2023-03-20 09:20,55,29.68,40,48
2023-03-20 09:20,55,42.16,50,60
2023-03-20 09:15,64,39.48,40,49
2023-03-20 09:15,67,41.74,54,62
2023-03-20 09:10,48,31.57,45,52
2023-03-20 09:10,71,40.29,49,59
2023-03-20 09:05,62,41.13,44,55
2023-03-20 09:05,69,43.51,50,63
2023-03-20 09:00,48,13.42,46,58
2023-03-20 09:00,49,25.99,56,67
2023-03-20 08:55,61,24.48,40,51
2023-03-20 08:55,66,31.43,54,65
2023-03-20 08:50,50,14.49,46,55
2023-03-20 08:50,49,20.15,51,61
2023-03-20 08:45,59,24.85,39,50
2023-03-20 08:45,67,24.68,53,62
2023-03-20 08:40,45,22.93,46,53
2023-03-20 08:40,66,29.79,53,62
2023-03-20 08:35,65,26.16,45,54
2023-03-20 08:35,78,39.88,51,58
2023-03-20 08:30,49,25.09,42,54
2023-03-20 08:30,57,37.14,54,61
2023-03-20 08:25,63,37.43,40,46
2023-03-20 08:25,86,33.51,53,63
2023-03-20 08:20,51,32.59,44,58
2023-03-20 08:20,64,38.80,49,62
2023-03-20 08:15,75,30.13,41,52
2023-03-20 08:15,72,31.58,47,53
2023-03-20 08:10,45,12.85,47,57
2023-03-20 08:10,48,22.28,51,59
2023-03-20 08:05,58,22.16,48,61
2023-03-20 08:05,69,28.45,56,70
2023-03-20 08:00,55,25.92,46,57
2023-03-20 08:00,63,40.66,56,66
2023-03-20 07:55,64,38.88,45,54
2023-03-20 07:55,74,44.93,50,56
2023-03-20 07:50,51,13.97,44,55
2023-03-20 07:50,58,19.33,56,65
2023-03-20 07:45,51,13.93,47,57
2023-03-20 07:45,68,26.69,55,64
2023-03-20 07:40,42,11.94,47,54
2023-03-20 07:40,53,16.76,58,65
2023-03-20 07:35,44,11.13,52,68
2023-03-20 07:35,64,19.53,59,71
2023-03-20 07:30,35,8.88,50,61
2023-03-20 07:30,45,14.01,60,67
2023-03-20 07:25,54,13.94,46,55
2023-03-20 07:25,66,39.78,54,65
2023-03-20 07:20,52,23.84,49,56
2023-03-20 07:20,57,26.15,52,61
2023-03-20 07:15,74,37.53,44,56
2023-03-20 07:15,93,44.03,56,67
2023-03-20 07:10,49,19.92,53,67
2023-03-20 07:10,34,17.70,60,67
2023-03-20 07:05,53,33.91,54,68
2023-03-20 07:05,53,51.62,51,67
2023-03-20 07:00,34,40.65,48,72
2023-03-20 07:00,46,47.25,53,75
2023-03-20 06:55,27,20.59,51,70
2023-03-20 06:55,48,26.44,60,69
2023-03-20 06:50,29,26.90,49,63
2023-03-20 06:50,50,33.48,59,68
2023-03-20 06:45,36,36.26,55,71
2023-03-20 06:45,39,30.20,59,76
2023-03-20 06:40,30,14.37,50,71
2023-03-20 06:40,46,41.81,59,70
2023-03-20 06:35,31,17.94,46,63
2023-03-20 06:35,51,44.19,58,69
2023-03-20 06:30,19,44.98,57,69
2023-03-20 06:30,25,54.23,63,72
2023-03-20 06:25,29,36.46,51,67
2023-03-20 06:25,40,28.90,58,77
2023-03-20 06:20,30,13.93,50,71
2023-03-20 06:20,30,45.96,60,73
2023-03-20 06:15,18,25.51,56,66
2023-03-20 06:15,29,26.59,61,72
2023-03-20 06:10,27,24.60,46,65
2023-03-20 06:10,23,23.04,57,70
2023-03-20 06:05,14,5.33,56,65
2023-03-20 06:05,23,10.79,60,71
2023-03-20 06:00,20,17.81,60,71
2023-03-20 06:00,27,25.61,62,79
2023-03-20 05:55,8,3.07,47,53
2023-03-20 05:55,14,6.18,69,73
2023-03-20 05:50,11,9.17,21,43
2023-03-20 05:50,17,7.73,58,71
2023-03-20 05:45,8,19.14,46,78
2023-03-20 05:45,15,22.60,64,71
2023-03-20 05:40,11,4.00,55,64
2023-03-20 05:40,13,6.56,65,74
2023-03-20 05:35,15,31.49,66,90
2023-03-20 05:35,10,7.37,43,54
2023-03-20 05:30,6,13.60,38,38
2023-03-20 05:30,15,21.79,58,80
2023-03-20 05:25,4,4.10,42,64
2023-03-20 05:25,4,5.51,72,72
2023-03-20 05:20,8,5.82,0,0
2023-03-20 05:20,6,6.97,69,69
2023-03-20 05:15,16,23.18,59,84
2023-03-20 05:15,15,25.06,51,69
2023-03-20 05:10,10,27.08,66,83
2023-03-20 05:10,14,29.25,54,79
2023-03-20 05:05,2,0.49,65,65
2023-03-20 05:05,11,3.39,66,74
2023-03-20 05:00,3,2.64,39,49
2023-03-20 05:00,11,6.98,74,77
2023-03-20 04:55,7,1.39,57,62
2023-03-20 04:55,12,8.26,54,76
2023-03-20 04:50,4,0.66,99,99
2023-03-20 04:50,5,2.03,68,68
2023-03-20 04:45,4,1.94,0,0
2023-03-20 04:45,8,2.47,75,80
2023-03-20 04:40,4,2.16,25,25
2023-03-20 04:40,5,2.73,70,72
2023-03-20 04:35,5,1.74,0,0
2023-03-20 04:35,5,2.85,0,0
2023-03-20 04:30,7,8.16,36,36
2023-03-20 04:30,6,8.97,70,79
2023-03-20 04:25,5,2.54,49,78
2023-03-20 04:25,7,3.81,67,67
2023-03-20 04:20,4,0.78,53,53
2023-03-20 04:20,3,1.63,59,60
2023-03-20 04:15,0,0.13,0,0
2023-03-20 04:15,5,1.43,63,67
2023-03-20 04:10,2,1.11,0,0
2023-03-20 04:10,7,2.42,52,74
