Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 10:00,53,27.83,61,68
2023-03-20 10:00,42,20.31,61,74
2023-03-20 09:55,80,61.04,68,90
2023-03-20 09:55,70,22.62,54,61
2023-03-20 09:50,62,59.55,66,88
2023-03-20 09:50,60,33.35,63,83
2023-03-20 09:45,81,35.18,66,85
2023-03-20 09:45,64,18.33,61,84
2023-03-20 09:40,58,27.31,68,97
2023-03-20 09:40,54,17.03,62,78
2023-03-20 09:35,67,45.86,68,85
2023-03-20 09:35,62,20.08,66,84
2023-03-20 09:30,75,60.95,67,96
2023-03-20 09:30,39,18.36,66,88
2023-03-20 09:25,94,68.88,56,81
2023-03-20 09:25,62,24.76,55,76
2023-03-20 09:20,63,48.59,66,94
2023-03-20 09:20,52,16.35,62,82
2023-03-20 09:15,85,43.93,67,101
2023-03-20 09:15,57,20.10,52,59
2023-03-20 09:10,60,66.53,68,92
2023-03-20 09:10,50,14.90,66,84
2023-03-20 09:05,90,63.03,58,73
2023-03-20 09:05,66,22.28,56,78
2023-03-20 09:00,50,32.29,73,108
2023-03-20 09:00,48,14.59,66,83
2023-03-20 08:55,71,34.95,89,0
2023-03-20 08:55,52,16.90,54,61
2023-03-20 08:50,57,19.04,69,97
2023-03-20 08:50,40,14.01,62,83
2023-03-20 08:45,82,43.94,82,0
2023-03-20 08:45,51,32.97,61,94
2023-03-20 08:40,74,42.49,68,98
2023-03-20 08:40,44,16.72,61,87
2023-03-20 08:35,100,42.98,61,78
2023-03-20 08:35,81,18.59,56,67
2023-03-20 08:30,67,47.24,65,89
2023-03-20 08:30,56,13.90,61,83
2023-03-20 08:25,92,54.53,63,71
2023-03-20 08:25,91,20.53,60,81
2023-03-20 08:20,61,36.25,60,68
2023-03-20 08:20,53,13.92,58,68
2023-03-20 08:15,89,46.62,69,104
2023-03-20 08:15,76,21.48,59,78
2023-03-20 08:10,51,44.18,67,105
2023-03-20 08:10,47,16.09,67,94
2023-03-20 08:05,89,25.48,66,80
2023-03-20 08:05,66,19.31,64,85
2023-03-20 08:00,65,27.75,70,101
2023-03-20 08:00,55,17.37,59,70
2023-03-20 07:55,98,37.84,60,79
2023-03-20 07:55,69,30.09,62,80
2023-03-20 07:50,70,40.50,64,79
2023-03-20 07:50,36,14.71,58,73
2023-03-20 07:45,96,27.86,74,116
2023-03-20 07:45,52,15.64,58,66
2023-03-20 07:40,64,53.90,74,104
2023-03-20 07:40,38,15.05,60,84
2023-03-20 07:35,76,38.75,65,82
2023-03-20 07:35,35,13.90,73,103
2023-03-20 07:30,49,48.73,69,89
2023-03-20 07:30,35,12.68,58,68
2023-03-20 07:25,84,40.99,61,86
2023-03-20 07:25,49,17.88,60,81
2023-03-20 07:20,67,50.18,69,93
2023-03-20 07:20,52,16.92,58,68
2023-03-20 07:15,98,30.02,64,79
2023-03-20 07:15,52,20.05,58,78
2023-03-20 07:10,48,21.07,89,0
2023-03-20 07:10,36,11.05,59,66
2023-03-20 07:05,109,41.13,51,72
2023-03-20 07:05,53,25.96,58,67
2023-03-20 07:00,45,23.41,55,76
2023-03-20 07:00,34,13.74,56,69
2023-03-20 06:55,56,17.50,70,90
2023-03-20 06:55,35,13.91,60,76
2023-03-20 06:50,48,38.50,61,90
2023-03-20 06:50,37,15.35,58,83
2023-03-20 06:45,43,50.11,74,109
2023-03-20 06:45,46,42.05,59,67
2023-03-20 06:40,50,39.60,70,88
2023-03-20 06:40,36,15.15,60,72
2023-03-20 06:35,57,46.81,57,75
2023-03-20 06:35,36,20.69,49,64
2023-03-20 06:30,31,48.20,67,77
2023-03-20 06:30,25,11.40,57,66
2023-03-20 06:25,46,29.48,71,96
2023-03-20 06:25,33,21.35,60,78
2023-03-20 06:20,34,17.15,64,72
2023-03-20 06:20,26,12.12,61,69
2023-03-20 06:15,31,27.49,59,68
2023-03-20 06:15,20,11.07,49,60
2023-03-20 06:10,26,24.34,60,67
2023-03-20 06:10,22,9.43,53,65
2023-03-20 06:05,26,24.00,64,71
2023-03-20 06:05,13,6.56,60,70
2023-03-20 06:00,26,26.22,73,93
2023-03-20 06:00,20,8.16,65,77
2023-03-20 05:55,16,21.46,78,114
2023-03-20 05:55,8,14.59,57,69
2023-03-20 05:50,21,29.62,77,0
2023-03-20 05:50,13,7.64,59,64
2023-03-20 05:45,19,35.36,67,77
2023-03-20 05:45,9,5.69,67,83
2023-03-20 05:40,10,10.72,74,77
2023-03-20 05:40,11,6.90,59,85
2023-03-20 05:35,13,18.16,65,77
2023-03-20 05:35,13,6.03,59,67
2023-03-20 05:30,16,13.92,64,78
2023-03-20 05:30,5,3.57,50,62
2023-03-20 05:25,4,8.64,74,77
2023-03-20 05:25,3,2.29,46,54
2023-03-20 05:20,10,5.42,62,82
2023-03-20 05:20,8,2.91,67,77
2023-03-20 05:15,14,18.95,61,68
2023-03-20 05:15,10,4.96,55,66
2023-03-20 05:10,13,12.35,64,77
2023-03-20 05:10,8,5.03,64,78
2023-03-20 05:05,13,4.21,66,75
2023-03-20 05:05,2,1.99,80,107
2023-03-20 05:00,13,5.09,70,84
2023-03-20 05:00,2,1.94,54,73
2023-03-20 04:55,12,22.43,64,69
2023-03-20 04:55,5,2.55,61,64
2023-03-20 04:50,5,22.08,61,65
2023-03-20 04:50,6,1.72,62,90
2023-03-20 04:45,7,13.42,77,86
2023-03-20 04:45,3,1.37,65,69
2023-03-20 04:40,6,10.10,71,74
2023-03-20 04:40,4,2.52,60,74
2023-03-20 04:35,4,16.16,69,69
2023-03-20 04:35,6,1.79,52,55
2023-03-20 04:30,6,3.27,66,69
2023-03-20 04:30,6,1.91,53,62
2023-03-20 04:25,6,1.99,58,74
2023-03-20 04:25,10,1.97,62,83
2023-03-20 04:20,4,10.80,61,61
2023-03-20 04:20,4,1.18,86,86
2023-03-20 04:15,5,12.91,66,73
2023-03-20 04:15,2,1.89,54,54
2023-03-20 04:10,7,1.79,65,76
2023-03-20 04:10,4,1.64,51,51
2023-03-20 04:05,4,11.72,56,56
2023-03-20 04:05,2,2.03,57,57
2023-03-20 04:00,1,17.33,82,82
2023-03-20 04:00,2,10.13,58,58
2023-03-20 03:55,9,6.39,63,71
2023-03-20 03:55,4,2.36,69,80
2023-03-20 03:50,6,16.01,66,72
2023-03-20 03:50,0,1.90,0,0
2023-03-20 03:45,10,3.20,70,75
2023-03-20 03:45,0,1.43,0,0
2023-03-20 03:40,9,4.98,75,110
2023-03-20 03:40,8,3.29,51,58
2023-03-20 03:35,8,6.67,66,77
2023-03-20 03:35,3,1.78,67,82
2023-03-20 03:30,3,2.17,77,78
2023-03-20 03:30,4,0.96,68,74
2023-03-20 03:25,6,13.36,49,56
2023-03-20 03:25,1,1.22,0,0
2023-03-20 03:20,3,4.45,75,78
2023-03-20 03:20,2,2.54,74,74
2023-03-20 03:15,5,2.47,72,88
2023-03-20 03:15,2,1.41,0,0
2023-03-20 03:10,5,2.69,65,73
2023-03-20 03:10,2,1.58,49,49
2023-03-20 03:05,3,1.10,63,69
2023-03-20 03:05,3,1.04,65,74
2023-03-20 03:00,4,5.46,70,76
2023-03-20 03:00,5,1.94,63,78
2023-03-20 02:55,7,3.04,60,68
2023-03-20 02:55,3,1.99,58,88
2023-03-20 02:50,7,11.27,65,86
2023-03-20 02:50,2,4.65,52,56
2023-03-20 02:45,8,11.08,69,76
2023-03-20 02:45,4,2.12,56,63
2023-03-20 02:40,5,4.43,67,75
2023-03-20 02:40,5,2.59,59,67
2023-03-20 02:35,4,2.58,60,71
2023-03-20 02:35,1,0.69,61,61
2023-03-20 02:30,10,9.05,68,78
2023-03-20 02:30,5,2.18,62,76
2023-03-20 02:25,11,10.65,63,72
2023-03-20 02:25,5,2.55,60,66
2023-03-20 02:20,9,3.74,72,80
2023-03-20 02:20,7,2.19,54,67
2023-03-20 02:15,6,4.35,61,77
2023-03-20 02:15,5,2.77,50,70
2023-03-20 02:10,4,5.71,64,71
2023-03-20 02:10,6,1.93,62,76
2023-03-20 02:05,10,3.38,68,79
2023-03-20 02:05,5,2.07,64,75
2023-03-20 02:00,5,9.45,67,75
2023-03-20 02:00,6,3.56,61,78
2023-03-20 01:55,8,8.40,67,72
2023-03-20 01:55,5,2.05,58,74
2023-03-20 01:50,10,6.00,65,74
2023-03-20 01:50,5,2.34,58,65
2023-03-20 01:45,12,17.53,67,76
2023-03-20 01:45,8,7.84,54,61
2023-03-20 01:40,14,3.75,60,72
2023-03-20 01:40,7,2.95,58,70
2023-03-20 01:35,10,6.84,59,74
2023-03-20 01:35,6,2.02,60,85
2023-03-20 01:30,12,35.40,64,68
2023-03-20 01:30,9,2.89,68,82
2023-03-20 01:25,14,3.95,69,78
2023-03-20 01:25,6,2.56,68,79
2023-03-20 01:20,7,16.20,67,71
2023-03-20 01:20,9,2.02,0,0
2023-03-20 01:15,9,11.18,70,80
2023-03-20 01:15,9,3.25,79,0
2023-03-20 01:10,12,26.73,64,73
2023-03-20 01:10,9,3.00,58,65
2023-03-20 01:05,12,14.82,63,71
2023-03-20 01:05,7,2.64,48,60
2023-03-20 01:00,13,13.80,69,77
2023-03-20 01:00,9,3.21,57,66
2023-03-20 00:55,10,6.72,70,86
2023-03-20 00:55,12,3.46,54,68
2023-03-20 00:50,15,9.02,65,77
2023-03-20 00:50,10,3.03,60,73
2023-03-20 00:45,13,7.35,66,75
2023-03-20 00:45,7,2.92,58,71
2023-03-20 00:40,16,5.22,74,107
2023-03-20 00:40,16,5.08,65,81
2023-03-20 00:35,26,31.54,66,72
2023-03-20 00:35,15,6.61,67,77
2023-03-20 00:30,11,23.70,64,73
2023-03-20 00:30,9,2.94,64,90
2023-03-20 00:25,20,33.82,68,73
2023-03-20 00:25,15,15.98,61,73
2023-03-20 00:20,14,6.18,70,79
2023-03-20 00:20,15,4.39,51,62
2023-03-20 00:15,25,18.20,64,73
2023-03-20 00:15,14,4.51,59,72
2023-03-20 00:10,19,9.08,68,92
2023-03-20 00:10,16,6.65,56,71
2023-03-20 00:05,17,8.09,61,71
2023-03-20 00:05,17,5.36,55,69
2023-03-20 00:00,25,11.92,61,70
2023-03-20 00:00,14,5.10,62,76
2023-03-19 23:55,22,24.71,58,64
2023-03-19 23:55,15,5.43,58,68
2023-03-19 23:50,18,10.24,67,95
2023-03-19 23:50,10,4.80,57,71
2023-03-19 23:45,15,12.82,64,75
2023-03-19 23:45,12,4.29,61,67
2023-03-19 23:40,13,16.22,63,72
2023-03-19 23:40,12,5.72,67,75
2023-03-19 23:35,22,17.36,62,70
2023-03-19 23:35,19,6.40,58,65
2023-03-19 23:30,30,12.03,62,73
2023-03-19 23:30,16,7.15,63,71
2023-03-19 23:25,29,21.36,68,77
2023-03-19 23:25,10,10.96,60,70
2023-03-19 23:20,29,29.22,68,80
2023-03-19 23:20,16,8.35,62,76
2023-03-19 23:15,18,19.05,62,71
2023-03-19 23:15,10,4.22,61,72
2023-03-19 23:10,22,17.09,63,71
2023-03-19 23:10,21,11.41,58,70
2023-03-19 23:05,28,19.57,63,73
2023-03-19 23:05,18,8.89,61,69
2023-03-19 23:00,28,18.39,65,72
2023-03-19 23:00,16,15.49,62,77
2023-03-19 22:55,34,16.12,66,73
2023-03-19 22:55,18,13.97,54,57
2023-03-19 22:50,33,13.81,60,74
2023-03-19 22:50,21,14.46,60,74
2023-03-19 22:45,36,32.56,64,77
2023-03-19 22:45,19,22.19,59,68
2023-03-19 22:40,24,15.53,63,73
2023-03-19 22:40,17,12.66,58,66
2023-03-19 22:35,24,34.38,60,68
2023-03-19 22:35,20,17.12,54,64
2023-03-19 22:30,33,28.95,71,94
2023-03-19 22:30,25,29.24,59,70
2023-03-19 22:25,28,36.37,66,73
2023-03-19 22:25,26,20.61,60,71
2023-03-19 22:20,44,28.92,62,70
2023-03-19 22:20,30,14.86,65,92
2023-03-19 22:15,30,32.93,64,72
2023-03-19 22:15,17,10.14,58,72
2023-03-19 22:10,33,20.86,65,74
2023-03-19 22:10,22,14.66,54,66
2023-03-19 22:05,38,13.11,60,72
2023-03-19 22:05,25,14.06,55,67
2023-03-19 22:00,29,12.49,61,76
2023-03-19 22:00,26,11.33,60,74
2023-03-19 21:55,35,15.28,67,74
2023-03-19 21:55,23,12.56,59,67
2023-03-19 21:50,43,15.16,62,72
2023-03-19 21:50,27,14.57,47,58
2023-03-19 21:45,43,41.54,67,110
2023-03-19 21:45,35,15.19,64,88
2023-03-19 21:40,47,33.24,66,75
2023-03-19 21:40,29,12.27,63,77
2023-03-19 21:35,51,28.79,77,117
2023-03-19 21:35,24,14.25,58,70
2023-03-19 21:30,37,40.35,60,66
2023-03-19 21:30,31,12.92,52,64
2023-03-19 21:25,52,20.26,65,93
2023-03-19 21:25,29,15.74,57,66
2023-03-19 21:20,47,23.09,67,87
2023-03-19 21:20,38,15.42,48,58
2023-03-19 21:15,47,37.74,63,84
2023-03-19 21:15,35,17.39,56,68
2023-03-19 21:10,48,28.86,65,77
2023-03-19 21:10,32,14.38,64,71
2023-03-19 21:05,32,33.04,75,115
2023-03-19 21:05,30,20.92,59,71
2023-03-19 21:00,41,47.98,64,74
2023-03-19 21:00,36,17.99,51,58
2023-03-19 20:55,62,18.86,68,100
2023-03-19 20:55,41,16.56,51,57
2023-03-19 20:50,43,22.45,56,68
2023-03-19 20:50,26,11.18,53,61
2023-03-19 20:45,48,39.22,65,102
2023-03-19 20:45,34,16.33,53,60
2023-03-19 20:40,48,27.55,64,76
2023-03-19 20:40,25,14.13,61,71
2023-03-19 20:35,56,39.58,63,88
2023-03-19 20:35,35,23.47,56,69
2023-03-19 20:30,46,44.65,68,96
2023-03-19 20:30,41,13.98,59,70
2023-03-19 20:25,54,32.42,64,75
2023-03-19 20:25,26,13.45,50,62
2023-03-19 20:20,46,23.02,60,75
2023-03-19 20:20,36,12.95,51,62
2023-03-19 20:15,50,42.09,68,111
2023-03-19 20:15,32,14.92,54,61
2023-03-19 20:10,49,42.20,58,75
2023-03-19 20:10,37,13.34,61,92
2023-03-19 20:05,71,23.02,57,78
2023-03-19 20:05,46,19.35,51,61
2023-03-19 20:00,50,24.04,65,81
2023-03-19 20:00,36,14.32,67,97
2023-03-19 19:55,70,38.99,59,89
2023-03-19 19:55,43,20.69,47,56
2023-03-19 19:50,52,34.59,72,110
2023-03-19 19:50,43,20.83,53,62
2023-03-19 19:45,44,48.07,52,65
2023-03-19 19:45,29,17.75,64,80
2023-03-19 19:40,54,37.00,59,73
2023-03-19 19:40,38,18.45,52,61
2023-03-19 19:35,52,23.40,62,82
2023-03-19 19:35,33,19.91,55,66
2023-03-19 19:30,54,63.06,65,79
2023-03-19 19:30,33,16.78,56,64
2023-03-19 19:25,45,32.26,65,84
2023-03-19 19:25,37,13.10,60,82
2023-03-19 19:20,67,46.11,63,81
